track_id,danceability,energy,valence,tempo,loudness,acousticness
1pG5nd6gmfbMwUfT5shDQe,0.619,0.226,0.188,124.96,-13.453,0.959
2WZyfujzMweFLnozyUJBkW,0.404,0.571,0.29,147.01,-5.069,0.182
6gijbGNDNNJgT60Aj7UCyc,0.418,0.79,0.197,175.975,-6.599,0.0284
5pq4v03P5PxMcnCagg4S3Z,0.633,0.299,0.341,147.549,-7.798,0.833
08OjvLnGR3M0HUhcePeMNO,0.565,0.0392,0.601,125.399,-28.276,0.835
65VhbQdqvozUntjnlFkFbZ,0.664,0.0755,0.575,80.004,-19.836,0.91
05pKAafT85jeeNhZ6kq7HT,0.585,0.303,0.142,136.703,-10.058,0.694
3PG6V5yuFfo4APiovOQoRv,0.65,0.271,0.21,78.036,-11.081,0.794
5O9R57EozcpLKGQBzadPVy,0.534,0.213,0.0998,98.385,-8.64,0.884
6ta5yavnnEfCE4faU0jebM,0.456,0.386,0.612,165.733,-10.293,0.835
7BRCa8MPiyuvr2VU3O9W0F,0.409,0.234,0.145,139.832,-13.711,0.338
5ZhaKUsY68U0lgREFWfoxg,0.502,0.53,0.102,78.046,-9.573,0.805
4zcMBfbQZvBSHQBGDd6gsN,0.496,0.117,0.318,78.068,-12.884,0.933
7bhHLZxkRekrNPPkEdDTbn,0.585,0.724,0.333,187.484,-6.513,0.315
5rwq6R0Uq0BngM3rdmCeNg,0.582,0.253,0.294,90.186,-11.43,0.827
2lxBZVbkiCXC1soks2RXwV,0.637,0.14,0.392,139.78,-11.472,0.903
38YgZVHPWOWsKrsCXz6JyP,0.672,0.623,0.617,92.018,-5.699,0.241
6XrNrp7UtGgyZcHJ0ckL0w,0.422,0.272,0.113,143.413,-10.772,0.496
72R0X0h8YaxYNpegeoOl0M,0.47,0.801,0.431,173.92,-6.426,0.0758
6R6ux6KaKrhAg2EIB2krdU,0.564,0.864,0.534,95.984,-5.121,0.0761
2D9w6sabdMCLSheW5aegwO,0.521,0.495,0.116,135.061,-7.756,0.128
1Qo3taHLFSQpzLm5Sty7M4,0.616,0.81,0.79,97.994,-6.51,0.369
71M4QMn8nrok1KFVXwEEyU,0.615,0.812,0.74,98.954,-6.573,0.184
4lxGVzcUaSF5HW5jtWnShV,0.478,0.305,0.0974,108.66,-13.062,0.675
2PIlBukQ6limukVR8Ubb5o,0.479,0.541,0.321,85.994,-9.862,0.737
5p9XWUdvbUzmPCukOmwoU3,0.587,0.767,0.664,100.38,-5.713,0.225
1uSuY2qLCbx1QB7oPUVhFG,0.514,0.569,0.264,142.597,-7.866,0.601
6twvFrIoIINH8UW8EB8OnU,0.646,0.836,0.727,105.991,-6.203,0.301
2pelUnMKr07JjJpilj9Yew,0.57,0.711,0.648,163.117,-4.155,0.119
7d0bJhpp0mCYyMXaMgWyMS,0.678,0.199,0.262,72.006,-9.785,0.957
73CbJykoV6WapWGfTeRzTl,0.589,0.867,0.795,94.52,-4.523,0.041
3ixLIO5BsTmic0Pp27FaPY,0.626,0.926,0.548,99.997,-4.441,0.0265
5ZetMq21bMQN5oo4TtdOxu,0.686,0.556,0.36,112.997,-8.5,0.532
73oHkllHIT8fdbzpxiXW40,0.56,0.832,0.802,100.957,-5.595,0.108
4MihgVRpD82EZoT61GW63w,0.619,0.793,0.892,177.991,-5.964,0.263
1BECZPXBXzobsfmlzj0g3I,0.56,0.278,0.594,102.187,-12.501,0.733
14vExHBkh1prEAN94wZug8,0.595,0.805,0.359,102.44,-7.926,0.0167
0fzCtVM9D5UEwiLqcY8Ouq,0.438,0.827,0.645,143.377,-6.531,0.0512
6IF2P93LkyW4GqDQu1yS7H,0.582,0.375,0.106,129.909,-13.277,0.702
34dnNAUoIPcwnK0RtVMBWZ,0.453,0.295,0.14,146.022,-12.881,0.518
5aDpULK8MbJmHl42kR5KNI,0.636,0.625,0.342,93.931,-7.895,0.222
1fI1TMpz7FVkpoYBhmiywp,0.639,0.201,0.4,88.107,-16.613,0.907
23Mcmg5O8rBKAOzxvrTjnD,0.69,0.423,0.59,130.121,-9.194,0.883
0gVbkmFqq5fIkXtJJ3UTfM,0.599,0.349,0.444,147.913,-9.269,0.819
00DuOxungwHwVUX2m37P0P,0.519,0.264,0.192,140.354,-11.171,0.918
